imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20080512000056.GA10460@prunille.vinc17.org>,NO,-1.677,,"No, score=-1.677 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_MISMATCH_ORG=0.611, HOST_MISMATCH_NET=0.311]",False,0.2,False,0.49999999999999784
2,<20080512020055.GC13552@Sun.COM>,NO,-3.046,,"No, score=-3.046 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_MISMATCH_COM=0.553, RCVD_IN_DNSWL_LOW=-1]",False,0.2,False,0.49999999999999784
3,<20080512021746.GA3562@wilbur.25thandClement.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,0.2,False,0.49999999999999784
4,<20080512091849.GR16645@riva.ucam.org>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,0.2,False,0.49999999999999784
5,<20080512080747.GT10378@prunille.vinc17.org>,NO,-1.677,,"No, score=-1.677 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_MISMATCH_ORG=0.611, HOST_MISMATCH_NET=0.311]",False,0.2,False,0.49999999999999784
6,<200805121314.JAA28809@Sparkle.Rodents.Montreal.QC.CA>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,1.0,False,0.49999999999999784
7,<20080512143545.GD13552@Sun.COM>,NO,-3.046,,"No, score=-3.046 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_MISMATCH_COM=0.553, RCVD_IN_DNSWL_LOW=-1]",False,0.2,False,0.49999999999999784
8,<20080512151005.GI13552@Sun.COM>,NO,-3.046,,"No, score=-3.046 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_MISMATCH_COM=0.553, RCVD_IN_DNSWL_LOW=-1]",False,0.2,False,0.49999999999999784
9,<20080512162533.GW10378@prunille.vinc17.org>,NO,-1.677,,"No, score=-1.677 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_MISMATCH_ORG=0.611, HOST_MISMATCH_NET=0.311]",False,0.2,False,0.49999999999999784
10,<20080521232244.AB50763B151@mail.netbsd.org>,NO,4.011,****,"No, score=4.011 tagged_above=-999 required=5 tests=[BAYES_50=0.001, DRUGS_MUSCLE=0.01, FRT_SOMA2=2.199, MANGLED_SOMA=2.5, MIME_8BIT_HEADER=0.3, RCVD_IN_DNSWL_LOW=-1, SUBJECT_NEEDS_ENCODING=0.001]",True,5.7,True,0.9422597767307826
11,<nnmymi84m8.fsf@sellafield.lysator.liu.se>,NO,-1.949,,"No, score=-1.949 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_SE=0.35, MIME_8BIT_HEADER=0.3]",False,0.2,False,1.238256770780249e-05
12,<20080522205334.GX26388@Sun.COM>,NO,-2.648,,"No, score=-2.648 tagged_above=-999 required=5 tests=[AWL=0.098,  BAYES_00=-2.599, HELO_MISMATCH_COM=0.553, MIME_8BIT_HEADER=0.3,  RCVD_IN_DNSWL_LOW=-1]",False,0.2,False,0.006803068167124697
