imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<omTcFHq00WBw0N0SY0@andrew.cmu.edu>,,,,,False,0.0,False,9.488560275136749e-10
2,<v03007815aea435f5a5ac@[165.227.113.247]>,,,,,False,0.2,False,7.088828361201182e-11
3,,,,,,False,0.0,False,0.01158474526940826
4,<3.0.32.19961105133341.00cd5d78@lacroix>,,,,,False,0.8,False,2.7102089120518347e-05
5,<AmTvMTy00WBw0NXl00@andrew.cmu.edu>,,,,,False,0.0,False,9.82279384992836e-13
6,<ML-2.3.847231399.9084.max@jimi-hendrix.mcom.com>,,,,,False,1.3,False,0.49999999999999784
7,<8mTvk4600WBw0NXlI0@andrew.cmu.edu>,,,,,False,0.0,False,1.2078778485284584e-09
8,<3.0.32.19961105180258.00690f78@lacroix>,,,,,False,0.8,False,2.2557393735172534e-07
9,<3.0.32.19961105181058.00696b7c@lacroix>,,,,,False,0.8,False,2.2557393735172534e-07
10,<9611190959.aa15434@ietf.org>,,,,,False,1.0,False,0.08153361687929318
11,<9611191000.aa15462@ietf.org>,,,,,False,1.0,False,0.08153361687929318
12,<9611191001.aa15628@ietf.org>,,,,,False,1.0,False,0.49999999999999784
13,<AmfRXl200WBw0GJQc0@andrew.cmu.edu>,,,,,False,1.6,False,8.809418174235197e-07
14,,,,,,False,1.6,False,0.00024698759636400435
15,<3.0.32.19961216172757.00db42bc@lacroix>,,,,,False,2.4,False,0.0001678781535960208
16,<ML-2.3.850776612.6838.max@jimi-hendrix.mcom.com>,,,,,False,2.9,False,0.001299156153328721
17,<cmi66bu00WBw06gnY0@andrew.cmu.edu>,,,,,False,0.0,False,1.7017896232875647e-13
18,<8525644C.006F8CB5.00@motorcity2.lotus.com>,,,,,False,0.0,False,3.1924194436260124e-11
19,<v03101f0faf54f533b76b@[165.227.249.100]>,,,,,False,0.2,False,0.49999999999999784
20,<3.0.32.19970318234131.00d6c2a0@lacroix.wildbear.on.ca>,,,,,False,0.8,False,1.1340159121388888e-09
21,<SIMEON.9703191327.B22094@picasso.esys.ca>,,,,,False,0.0,False,0.00425846404616226
22,<v03101f0aaf56257b1401@[165.227.249.100]>,,,,,False,0.2,False,8.514534884087431e-10
23,<ML-3.2.858817975.6212.max@jimi-hendrix.mcom.com>,,,,,False,4.8,False,0.49999999999999784
24,<3.0.32.19970319210127.00d66fc4@lacroix.wildbear.on.ca>,,,,,False,0.8,False,1.0323776945959075e-09
25,,,,,,False,-0.0,False,0.6331457790734094
26,<wnAO3cO00UMdBcIEx3@andrew.cmu.edu>,,,,,False,0.0,False,0.49999999999999784
27,<3.0.32.19970320161609.00e1f908@lacroix.wildbear.on.ca>,,,,,False,0.8,False,1.2632610355354158e-07
28,<AnAPd8e00UMd1cIHgo@andrew.cmu.edu>,,,,,False,0.0,False,0.022753274822405068
29,<ML-3.3.858898725.7515.max@jimi-hendrix.mcom.com>,,,,,False,4.8,False,0.49999999999999784
30,<8nASFXK00UMdBcIIoB@andrew.cmu.edu>,,,,,False,0.0,False,0.49999999999999784
31,<9704180953.aa22135@ietf.org>,,,,,False,1.0,False,0.006192906056949586
32,<EnK0C1e00UMdFoZ4ZE@andrew.cmu.edu>,,,,,False,0.0,False,7.889739552318149e-13
33,<0nK0Hhu00UMd1oZ4sE@andrew.cmu.edu>,,,,,False,0.0,False,1.4773695626841254e-19
34,<9704230945.aa03875@ietf.org>,,,,,False,1.0,False,0.006192906056949586
35,<B1AABD2B53F1CF11817C00805FD459C8CD3583@POPDOG>,,,,,False,0.0,False,1.9296859947469516e-05
36,<19970502190823.0a77463b.in@lacroix.wildbear.on.ca>,,,,,False,0.8,False,3.806041469238696e-10
37,<ML-3.3.862614625.4978.max@jimi-hendrix.mcom.com>,,,,,False,4.8,False,0.49999999999999784
38,<199705030348.UAA19380@imo.plaintalk.bellevue.wa.us>,,,,,False,-0.0,False,4.063330027874367e-13
39,<v0310280eaf93b7e3b664@[165.227.249.100]>,,,,,False,0.3,False,0.49999999999999784
40,<knPVwou00UMdBJDXof@andrew.cmu.edu>,,,,,False,0.0,False,2.1165317530877213e-13
41,<199705051813.MAA17638@lautrec.esys.ca>,,,,,False,-0.0,False,2.1686898138707718e-08
42,<ML-3.3.862856851.1051.max@jimi-hendrix.mcom.com>,,,,,False,4.8,False,4.527683712301198e-12
43,<snPWruS00UMdNJDdNR@andrew.cmu.edu>,,,,,False,0.0,False,2.708078619603981e-06
44,<199705060117.SAA01977@imo.plaintalk.bellevue.wa.us>,,,,,False,-0.0,False,1.2980175055547032e-14
45,<3.0.1.32.19970506114405.0071111c@lacroix.wildbear.on.ca>,,,,,False,0.8,False,7.492030847242645e-08
46,<199705062135.OAA00302@imo.plaintalk.bellevue.wa.us>,,,,,False,-0.0,False,1.5437158639657372e-12
47,,,,,,False,-0.0,False,4.536782501017172e-06
