imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20120720211627.15374.19906.idtracker@ietfa.amsl.com>,NO,-102.813,,"No, score=-102.813 tagged_above=-999 required=5 tests=[AWL=-0.214, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
2,<CADnDZ8-mybYbRtyBT7fceZnz=8c4RgCtpM1frEimFGmcFK8bBw@mail.gmail.com>,NO,-3.461,,"No, score=-3.461 tagged_above=-999 required=5 tests=[AWL=0.138, BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1]",False,0.1,False,0.49999999999999784
3,<82640C64-86CD-46BD-98A8-7F894B130081@vpnc.org>,NO,-102.566,,"No, score=-102.566 tagged_above=-999 required=5 tests=[AWL=0.033, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
4,<503E46E4.8010002@stpeter.im>,NO,-102.575,,"No, score=-102.575 tagged_above=-999 required=5 tests=[AWL=0.024, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.3,False,0.49999999999999784
5,<503E69B6.1000601@gmail.com>,NO,-101.691,,"No, score=-101.691 tagged_above=-999 required=5 tests=[AWL=-0.000, BAYES_00=-2.599, RCVD_ILLEGAL_IP=1.908, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-0.9,False,0.49999999999999784
6,<9A2C8E6F-40F8-4456-8D7A-0B7B28D89D8B@vpnc.org>,NO,-102.567,,"No, score=-102.567 tagged_above=-999 required=5 tests=[AWL=0.032, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
7,<CADnDZ897sJghgZKXYMBm3Dd3cwq9GSbpgpKU5hdGF2VVkTmo6A@mail.gmail.com>,NO,-3.501,,"No, score=-3.501 tagged_above=-999 required=5 tests=[AWL=0.098, BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1]",False,0.1,False,0.49999999999999784
8,<CADnDZ8-oM1Ok9dqp0xbRT2R6SnN6_aFt1Lvi1rWyOf6dxV4DPw@mail.gmail.com>,NO,-3.502,,"No, score=-3.502 tagged_above=-999 required=5 tests=[AWL=0.097, BAYES_00=-2.599, RCVD_IN_DNSWL_LOW=-1]",False,0.1,False,0.49999999999999784
9,<1364230167.23866.4681.camel@mightyatom>,NO,-0.74,,"No, score=-0.74 tagged_above=-999 required=5 tests=[BAYES_20=-0.74]",False,-0.0,False,0.03481168340193519
10,<D629CB93-0CF1-4666-A09B-1783910D6FA6@vpnc.org>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
11,<045201ce6c28$617a9c00$246fd400$@olddog.co.uk>,NO,-2.585,,"No, score=-2.585 tagged_above=-999 required=5 tests=[AWL=0.014, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
12,<07A1C581-E936-4B46-BE44-EBFD7CDADF09@vpnc.org>,NO,-102.502,,"No, score=-102.502 tagged_above=-999 required=5 tests=[AWL=0.097, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
